date	editors_total
May-2013	33993	
Apr-2013	33628	
Mar-2013	33330	
Feb-2013	33025	
Jan-2013	32750	
Dec-2012	32436	
Nov-2012	32126	
Oct-2012	31868	
Sep-2012	31611	
Aug-2012	31318	
Jul-2012	31056	
Jun-2012	30717	
May-2012	30413	
Apr-2012	30084	
Mar-2012	29795	
Feb-2012	29516	
Jan-2012	29220	
Dec-2011	28903	
Nov-2011	28586	
Oct-2011	28315	
Sep-2011	28055	
Aug-2011	27774	
Jul-2011	27464	
Jun-2011	27120	
May-2011	26792	
Apr-2011	26487	
Mar-2011	26195	
Feb-2011	25870	
Jan-2011	25503	
Dec-2010	25105	
Nov-2010	24721	
Oct-2010	24402	
Sep-2010	24075	
Aug-2010	23728	
Jul-2010	23387	
Jun-2010	22972	
May-2010	22626	
Apr-2010	22236	
Mar-2010	21814	
Feb-2010	21390	
Jan-2010	21001
Dec-2009	20578
Nov-2009	20168
Oct-2009	19800
Sep-2009	19421
Aug-2009	19022
Jul-2009	18585
Jun-2009	18126
May-2009	17726
Apr-2009	17320
Mar-2009	16925
Feb-2009	16529
Jan-2009	16159