date	Total de editores	Novos	>=5	>=100	Total de artigos	Novos artigos	Média de edições
May-2013	33993	365	1633	201	771000	169	31.0
Apr-2013	33628	298	1576	188	765000	140	30.9
Mar-2013	33330	305	1531	176	761000	114	30.7
Feb-2013	33025	275	1481	183	758000	114	29.9
Jan-2013	32750	314	1707	200	754000	140	29.7
Dec-2012	32436	310	1504	195	750000	137	29.4
Nov-2012	32126	258	1472	170	746000	109	29.2
Oct-2012	31868	257	1429	170	743000	113	29.1
Sep-2012	31611	293	1454	169	739000	138	28.8
Aug-2012	31318	262	1500	187	735000	212	28.7
Jul-2012	31056	339	1645	208	728000	186	28.5
Jun-2012	30717	304	1600	191	723000	125	28.3
May-2012	30413	329	1567	200	719000	129	28.1
Apr-2012	30084	289	1539	183	715000	99	27.9
Mar-2012	29795	279	1514	198	712000	101	27.7
Feb-2012	29516	296	1554	204	709000	126	27.5
Jan-2012	29220	317	1655	235	705000	121	27.2
Dec-2011	28903	317	1578	203	701000	128	26.9
Nov-2011	28586	271	1402	173	697000	108	26.7
Oct-2011	28315	260	1488	201	694000	129	26.5
Sep-2011	28055	281	1539	201	690000	121	26.3
Aug-2011	27774	310	1576	213	686000	123	26.1
Jul-2011	27464	344	1647	225	683000	125	25.8
Jun-2011	27120	328	1593	186	679000	102	25.5
May-2011	26792	305	1523	184	676000	116	25.3
Apr-2011	26487	292	1535	197	672000	126	25
Mar-2011	26195	325	1583	191	668000	156	24.7
Feb-2011	25870	367	1622	214	663000	167	24.4
Jan-2011	25503	398	1854	251	659000	214	24.2
Dec-2010	25105	384	1678	216	652000	846	24
Nov-2010	24721	319	1563	194	626000	571	24.5
Oct-2010	24402	327	1534	192	609000	166	24.7
Sep-2010	24075	347	1555	212	604000	194	24.6
Aug-2010	23728	341	1615	205	598000	405	24.4
Jul-2010	23387	415	1679	210	585000	234	24.4
Jun-2010	22972	346	1605	193	578000	200	24.2
May-2010	22626	390	1747	195	572000	606	24
Apr-2010	22236	422	1748	224	553000	268	24.1
Mar-2010	21814	424	1716	223	545000	276	23.9
Feb-2010	21390	389	1700	212	537000	231	23.7
Jan-2010	21001	423	1803	229	530000	243	23.4
Dec-2009	20578	410	1631	188	523000	249	23.2
Nov-2009	20168	368	1551	181	515000	295	23.1
Oct-2009	19800	379	1683	179	506000	190	23
Sep-2009	19421	399	1700	201	500000	176	22.6
Aug-2009	19022	437	1811	211	495000	263	22.3
Jul-2009	18585	459	1780	210	487000	231	22.1
Jun-2009	18126	400	1630	204	480000	227	21.9
May-2009	17726	406	1712	202	473000	219	21.7
Apr-2009	17320	395	1597	186	466000	204	21.5
Mar-2009	16925	396	1603	202	460000	216	21.2
Feb-2009	16529	370	1553	191	453000	246	21
Jan-2009	16159	461	1729	215	446000	233	20.8
Dec-2008	15698	348	1519	204	439000	208	20.5
Nov-2008	15350	375	1508	185	433000	207	20.3
Oct-2008	14975	351	1543	179	426000	238	20
Sep-2008	14624	395	1602	185	419000	184	19.8
Aug-2008	14229	422	1634	202	413000	239	19.3
Jul-2008	13807	482	1779	215	406000	246	19
Jun-2008	13325	429	1644	199	398000	928	18.7
May-2008	12896	436	1736	209	371000	221	19.3
Apr-2008	12460	450	1653	197	364000	199	18.9
Mar-2008	12010	405	1591	207	358000	215	18.5
Feb-2008	11605	456	1614	189	351000	236	18.1
Jan-2008	11149	503	1703	208	344000	230	17.7
Dec-2007	10646	428	1539	188	337000	243	17.3
Nov-2007	10218	464	1610	178	330000	225	17
Oct-2007	9754	461	1645	201	323000	1472	16.7
Sep-2007	9293	422	1518	182	277000	211	18.3
Aug-2007	8871	407	1405	178	271000	196	17.8
Jul-2007	8464	412	1445	174	265000	240	17.3
Jun-2007	8052	397	1435	176	257000	238	16.9
May-2007	7655	441	1475	177	250000	211	16.6
Apr-2007	7214	461	1457	151	244000	204	15.9
Mar-2007	6753	442	1429	161	238000	189	15.5
Feb-2007	6311	340	1216	139	232000	190	14.9
Jan-2007	5971	372	1263	176	226000	712	14.4
Dec-2006	5599	415	1250	175	204000	382	14.8
Nov-2006	5184	383	1197	162	193000	256	14
Oct-2006	4801	416	1206	146	185000	194	13.4
Sep-2006	4385	379	1178	145	179000	300	12.6
Aug-2006	4006	409	1136	148	170000	361	12.3
Jul-2006	3597	392	1085	133	159000	329	11.9
Jun-2006	3205	312	936	120	148000	356	11.5
May-2006	2893	300	899	115	138000	334	11.1
Apr-2006	2593	272	816	118	127000	213	10.8
Mar-2006	2321	278	815	110	121000	183	10
Feb-2006	2043	299	769	106	115000	214	9.4
Jan-2006	1744	247	666	94	109000	618	8.9
Dec-2005	1497	154	482	74	90000	203	9
Nov-2005	1343	133	394	60	84000	124	8.6
Oct-2005	1210	117	383	58	80000	120	8.2
Sep-2005	1093	91	320	46	76000	162	7.7
Aug-2005	1002	108	339	57	72000	407	7.5
Jul-2005	894	123	343	61	59000	134	8
Jun-2005	771	100	281	53	55000	158	7.4
May-2005	671	89	262	51	50000	369	6.6
Apr-2005	582	87	243	49	39000	146	6.9
Mar-2005	495	59	175	30	34000	77	6.5
Feb-2005	436	51	162	27	32000	73	6.2
Jan-2005	385	50	146	34	30000	61	5.7
Dec-2004	335	60	151	33	28000	60	5.4
Nov-2004	275	57	140	28	26000	63	4.9
Oct-2004	218	27	91	24	24000	58	4.3
Sep-2004	191	33	93	22	22000	282	3.9
Aug-2004	158	25	71	21	14000	54	4.5
Jul-2004	133	36	77	19	12000	130	4.1
Jun-2004	97	14	49	13	83000	50	4.1
May-2004	83	23	50	9	68000	52	3.6
Apr-2004	60	16	41	8	52000	32	3.4
Mar-2004	44	16	33	6	42000	58	3
Feb-2004	28	7	15	3	24000	34	3
Jan-2004	21	2	10	1	14000	8	2.3
Dec-2003	19	3	6	 	12000	1	2.1
Nov-2003	16	 	 	 	12000	 	1.9
Oct-2003	16	 	1	 	12000	1	1.9
Sep-2003	16	 	 	 	11000	2	1.8
Aug-2003	16	1	3	1	11000	7	1.8
Jul-2003	15	1	3	 	855	3	1.7
Jun-2003	14	2	6	 	759	3	1.7
May-2003	12	1	3	 	666	4	1.7
Apr-2003	11	1	2	 	552	2	1.7
Mar-2003	10	 	3	 	501	1	1.7
Feb-2003	10	1	5	 	478	3	1.6
Jan-2003	9	3	3	 	404	3	1.6
Dec-2002	6	 	1	 	313	1	1.6
Nov-2002	6	1	1	 	281	1	1.6
Oct-2002	5	1	1	 	258	1	1.6
Sep-2002	4	 	1	 	234	1	1.6
Aug-2002	4	 	 	 	214	 	1.6
Jul-2002	4	 	 	 	204	1	1.5
Jun-2002	4	 	1	 	187	1	1.5
May-2002	4	1	1	 	159	1	1.5
Apr-2002	3	 	 	 	142	 	1.6
Mar-2002	3	 	 	 	138	 	1.6
Feb-2002	3	 	 	 	130	 	1.6
Jan-2002	3	 	 	 	124	 	1.5
Dec-2001	3	 	 	 	121	 	1.5
Nov-2001	3	 	1	 	116	1	1.5
Oct-2001	3	1	2	 	98	2	1.4
Sep-2001	2	1	 	 	23	 	1.4
Aug-2001	1	 	1	 	16	 	1.2
Jul-2001	1	 	 	 	5	 	1.6
Jun-2001	1	1	 	 	3	 	2
